Incident energy,sigma
93.48416,1.396856E-8
93.50574,1.398631E-8
93.52731,1.400405E-8
93.5405,1.40149E-8
93.55369,1.402574E-8
93.56688,1.403659E-8
93.58006,1.404743E-8
93.59325,1.405828E-8
93.60643,1.406912E-8
93.61962,1.407997E-8
93.6328,1.409081E-8
93.64419,1.410017E-8
93.65558,1.410954E-8
93.66697,1.411891E-8
93.67836,1.412828E-8
93.68975,1.413764E-8
93.70114,1.414701E-8
93.71253,1.415638E-8
93.72391,1.416574E-8
93.73231,1.417265E-8
93.7407,1.417955E-8
93.74909,1.418645E-8
93.75748,1.419335E-8
93.77067,1.420419E-8
93.78386,1.421504E-8
93.79705,1.422589E-8
93.81023,1.423673E-8
93.82342,1.424758E-8
93.8366,1.425842E-8
93.84979,1.426926E-8
93.86297,1.42801E-8
93.88935,1.43018E-8
93.91572,1.432349E-8
93.96846,1.436686E-8
93.98764,1.438264E-8
94.00922,1.440038E-8
94.0308,1.441813E-8
94.06173,1.444357E-8
94.07166,1.445174E-8
94.07497,1.445446E-8
94.08159,1.44599E-8
94.10193,1.447663E-8
94.12227,1.449336E-8
94.1464,1.45132E-8
94.17053,1.453305E-8
94.21476,1.456942E-8
94.25899,1.46058E-8
94.29195,1.463291E-8
94.30843,1.464646E-8
94.32491,1.466001E-8
94.34139,1.467357E-8
94.35787,1.468712E-8
94.37435,1.470067E-8
94.39083,1.471423E-8
94.39672,1.471907E-8
94.40994,1.472995E-8
94.42316,1.474082E-8
94.43638,1.475169E-8
94.4496,1.476256E-8
94.4591,1.477038E-8
94.46859,1.477818E-8
94.48757,1.479379E-8
94.50656,1.480941E-8
94.52554,1.482502E-8
94.54168,1.483829E-8
94.55782,1.485156E-8
94.59009,1.48781E-8
94.65464,1.493119E-8
94.6926,1.496241E-8
94.7177,1.498305E-8
94.74279,1.500369E-8
94.76235,1.501978E-8
94.7819,1.503585E-8
94.82001,1.50672E-8
94.85812,1.509854E-8
94.91008,1.514127E-8
94.93606,1.516264E-8
94.96204,1.5184E-8
94.9811,1.519968E-8
95.00015,1.521535E-8
95.0192,1.523101E-8
95.03825,1.524668E-8
95.0573,1.526235E-8
95.07635,1.527802E-8
95.0954,1.529368E-8
95.11445,1.530935E-8
95.13406,1.532548E-8
95.15367,1.534161E-8
95.19288,1.537385E-8
95.23209,1.54061E-8
95.2713,1.543835E-8
95.29715,1.545961E-8
95.3115,1.547141E-8
95.34724,1.55008E-8
95.38298,1.55302E-8
95.40437,1.554779E-8
95.47283,1.560409E-8
95.50706,1.563224E-8
95.54129,1.566039E-8
95.57128,1.568506E-8
95.61626,1.572205E-8
95.66124,1.575905E-8
95.7512,1.583303E-8
95.80654,1.587854E-8
95.86187,1.592405E-8
95.88954,1.59468E-8
95.9172,1.596955E-8
95.94487,1.599231E-8
95.97253,1.601506E-8
96.00942,1.604539E-8
96.0463,1.607573E-8
96.08749,1.61096E-8
96.15373,1.616408E-8
96.18056,1.618614E-8
96.21335,1.621311E-8
96.28078,1.626857E-8
96.3482,1.632401E-8
96.39325,1.636106E-8
96.43967,1.639924E-8
96.48608,1.643741E-8
96.53249,1.647558E-8
96.5789,1.651375E-8
96.6415,1.656523E-8
96.7,1.661335E-8
96.74617,1.665132E-8
96.79234,1.668929E-8
96.83851,1.672726E-8
96.88468,1.676523E-8
96.93085,1.68032E-8
96.97702,1.684117E-8
97.02319,1.687914E-8
97.06936,1.691712E-8
97.10823,1.694908E-8
97.15682,1.698904E-8
97.20541,1.702901E-8
97.254,1.706897E-8
97.30258,1.710892E-8
97.34875,1.714689E-8
97.39491,1.718486E-8
97.44107,1.722282E-8
97.46415,1.72418E-8
97.48723,1.726078E-8
97.51031,1.727976E-8
97.53339,1.729874E-8
97.55647,1.731773E-8
97.57955,1.733671E-8
97.60263,1.735569E-8
97.62571,1.737467E-8
97.64879,1.739365E-8
97.67187,1.741263E-8
97.6986,1.743462E-8
97.72532,1.745659E-8
97.75205,1.747858E-8
97.77877,1.750055E-8
97.8055,1.752253E-8
97.83222,1.754451E-8
97.85894,1.756648E-8
97.88566,1.758846E-8
97.92951,1.762452E-8
97.97335,1.766058E-8
98.01278,1.769301E-8
98.03249,1.770922E-8
98.0522,1.772543E-8
98.0718,1.774154E-8
98.10182,1.776623E-8
98.13184,1.779092E-8
98.16186,1.781561E-8
98.19188,1.78403E-8
98.23236,1.787359E-8
98.27284,1.790689E-8
98.31332,1.794018E-8
98.35379,1.797346E-8
98.39047,1.800363E-8
98.40881,1.801871E-8
98.42714,1.803379E-8
98.44548,1.804887E-8
